TARGETID,Class,Mean_mag,Fvar_percent,N,Time_span,oid_n,n_outlier,n_near_limit,max_magerr,reason_tag,lc_file,qc_png,outliers_csv
39627841934987333,Star-forming,19.5419312,32.934182932814146,37,2140.1197569,1,1,0,0.160525903,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627841934987333_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627841934987333_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627841934987333_outliers_tagged.csv
39627796581978622,Star-forming,19.1914549,32.684679699914966,82,2665.834722200001,1,0,0,0.1118792,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627796581978622_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627796581978622_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627796581978622_outliers_tagged.csv
39633015034350241,Star-forming,19.6941185,30.97344584688053,161,2182.132615800001,1,1,2,0.240119457,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39633015034350241_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39633015034350241_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39633015034350241_outliers_tagged.csv
39628051717295008,Star-forming,19.8093834,29.54824193515704,89,2574.088009300001,1,0,3,0.195179984,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39628051717295008_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39628051717295008_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39628051717295008_outliers_tagged.csv
39627557301126813,Star-forming,19.0229454,28.901814002152665,434,2617.8526388000028,1,1,0,0.110468328,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627557301126813_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627557301126813_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627557301126813_outliers_tagged.csv
39633501561033054,Star-forming,18.1564217,28.674126066410555,393,2752.3023148,1,8,0,0.0580345094,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39633501561033054_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39633501561033054_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39633501561033054_outliers_tagged.csv
39627660980129405,Star-forming,18.1011734,28.586254341865004,163,2617.9742361000026,1,5,0,0.058900848,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627660980129405_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627660980129405_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627660980129405_outliers_tagged.csv
39627684405315792,Star-forming,18.8697472,28.48392698604542,263,2750.2847336999985,1,4,0,0.0703126192,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39627684405315792_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627684405315792_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39627684405315792_outliers_tagged.csv
39628110232028304,Star-forming,18.82379535,28.375096593244137,74,2502.1244675999988,1,1,0,0.0908075869,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\STARFORMING\39628110232028304_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39628110232028304_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Starforming\39628110232028304_outliers_tagged.csv
2842177990295555,Composite,19.1606941,104.68202134955833,75,2553.080439800004,1,0,0,0.186889306,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\2842177990295555_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2842177990295555_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2842177990295555_outliers_tagged.csv
2852189789749253,Composite,19.0744915,58.59343704536028,70,2390.7764120000065,1,0,0,0.137852252,unclear,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\2852189789749253_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2852189789749253_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2852189789749253_outliers_tagged.csv
39628500855947995,Composite,20.63191035,43.481865753932965,56,2503.9966319000014,1,0,11,0.256898403,near_limitmag|large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\39628500855947995_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39628500855947995_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\39628500855947995_outliers_tagged.csv
2402624800292867,Composite,20.2903881,39.87303459750533,57,2551.0541667,1,0,4,0.20625174,large_magerr,C:\Users\30126\Desktop\AGN\ZTF_lightcurves_CLEAN_R_MINFIX\COMPOSITE\2402624800292867_rband_clean.csv,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2402624800292867_QC.png,C:\Users\30126\Desktop\AGN\TO_ADVISOR_CHECK_MINFIX\03_SF_composite_highFvar_qc\Composite\2402624800292867_outliers_tagged.csv
