TARGETID,Class,N,Time_span,Mean_mag,Fvar_percent
2842177990295555,Composite,75,2553.080439800004,19.1606941,104.68202134955833
2852189789749253,Composite,70,2390.7764120000065,19.0744915,58.59343704536028
39628500855947995,Composite,56,2503.9966319000014,20.63191035,43.481865753932965
2402624800292867,Composite,57,2551.0541667,20.2903881,39.87303459750533
39627685130930743,Composite,58,2244.9296875,19.95264435,35.20775719361816
1083386139508745,Composite,99,2599.01728,19.0026417,34.73552824726228
2846900617216004,Composite,58,2174.139259199997,20.3250637,32.99565594289858
39628087100446154,Composite,54,2509.1322916000063,18.2068186,32.74231053552176
39627684887662299,Composite,306,2770.2728124999994,16.995828600000003,31.29664692465772
39627660980129350,Composite,127,2603.970208300001,18.0332928,30.102494233571083
2402629695045634,Composite,85,2325.746134300003,19.3237705,29.403157050971867
39627849119828387,Composite,367,2717.798599499998,19.1217461,28.307950167412137
39627915092037533,Composite,110,2625.9852315000026,19.6709328,28.02338910631049
39627607695694120,Composite,306,2659.8612614999947,17.5540123,27.828215223004037
1083386139508744,Composite,511,2621.9517939,18.4718304,27.281836586511183
2402716785573889,Composite,244,2709.816886600005,18.4982834,26.92367364360725
2389666972041216,Composite,70,2580.9593981999933,19.25050165,26.77838495530019
39628268273403216,Composite,246,2690.8002314999976,20.7546749,26.680200412606435
39627415592378540,Composite,388,2612.005289400004,17.3881359,26.560598567213606
39633062107021800,Composite,57,2217.0193287,20.7315178,26.22480787633616
39627684912827860,Composite,289,2599.968472200002,18.4127426,25.972922729039578
2402788420091910,Composite,177,2592.031747699999,18.0054703,25.967661188991062
39627812058961400,Composite,239,2635.958923599996,19.0725689,25.514986082782187
39633559480175678,Composite,41,1536.8063078999985,18.5857086,25.22638603098477
39633387106862782,Composite,305,2634.0531481,19.8752384,24.99692088013069
39627318024476796,Composite,336,2586.962245399998,17.890703199999997,24.87334550215683
39627616520506959,Composite,560,2647.831226800001,18.910315500000003,24.691553490370342
39627363373290934,Composite,313,2586.9369213000027,18.1359825,24.495843833928596
39627612909210686,Composite,264,2633.938993099997,18.0976906,24.34567526905562
39627799455074960,Composite,34,2717.3174305,20.0446825,24.286141483360645
39633024584780104,LINER,55,2503.132870399997,18.3461514,19.90139207798707
2851476959395841,LINER,80,2499.020312499997,18.09657955,16.008212883389554
39627648942475017,LINER,400,2620.0051387999997,15.626632699999998,15.560953832454272
39627525663490343,LINER,447,2712.7250116,17.8531456,15.021168998895863
39628336044972131,LINER,899,2726.7664352000065,20.2764511,14.311412020577857
39627797601193500,LINER,442,2648.870555499998,17.3356133,14.17881288399606
39628068863608942,LINER,85,2502.1244675999988,16.7761917,14.171509540036872
39627611076299862,LINER,574,2629.8734027000028,16.5969868,14.062124108782273
2851225380847616,LINER,34,1867.9130093000056,15.4562945,13.548894742081956
39628514638433106,LINER,1006,2700.855034700005,17.02606775,13.366559904687822
39628042535963321,LINER,1097,2724.6614236000023,18.2069206,13.22944098420476
39627648812453530,LINER,315,2599.968472200002,16.49156,13.199198937161423
39627606663892475,LINER,404,2769.271643500004,17.417030349999997,13.123840751331509
39627990052635815,LINER,673,2670.8439120999974,17.6619701,12.920627359022768
39633131174625869,LINER,955,2752.240520899999,18.2217388,12.555881811553808
39627799828367798,LINER,365,2620.0051387999997,16.2124538,12.480529698470509
39627989159248051,LINER,695,2694.7257638999945,17.2716675,12.35358941557739
